topic_uid,estimated_minutes,difficulty,pedagogical_notes,learning_objectives,misconceptions
TOPIC-LINEAR-EQ,30,5,"Студенты часто путают знаки при переносе. Используйте метафору весов.","Решать уравнения вида ax+b=c|Проверять найденные решения","Забывают менять знак при переносе|Делят до раскрытия скобок"
TOPIC-QUADRATIC-EQ,45,7,"Дискриминант — ключевой инструмент. Связать с графиком параболы для наглядности.","Вычислять дискриминант|Находить корни через формулу|Определять количество корней","Путают знак перед 4ac|Забывают про два корня|Не проверяют ответ подстановкой"
TOPIC-INEQUALITIES,35,6,"Акцентировать внимание на смене знака при умножении на отрицательное число.","Решать линейные неравенства|Изображать решение на числовой прямой|Записывать ответ в виде промежутка","Не меняют знак при умножении на минус|Путают строгие и нестрогие неравенства"
TOPIC-SYSTEMS-EQ,50,7,"Сравнивать метод подстановки и метод сложения на одном примере.","Решать системы методом подстановки|Решать системы методом сложения|Интерпретировать решение графически","Путают переменные при подстановке|Забывают найти вторую переменную"
TOPIC-POWERS,25,4,"Начинать с конкретных числовых примеров, затем обобщать правила.","Применять свойства степеней с натуральным показателем|Упрощать выражения со степенями","Складывают показатели при умножении оснований|Путают нулевую степень с нулём"
TOPIC-ROOTS,35,6,"Связать корни со степенями. Подчеркнуть область определения.","Вычислять квадратные корни|Упрощать выражения с корнями|Выносить множитель из-под корня","Считают что корень из суммы равен сумме корней|Забывают про область определения"
TOPIC-POLYNOMIALS,40,6,"Использовать геометрическую интерпретацию формул сокращённого умножения.","Раскладывать многочлены на множители|Применять формулы сокращённого умножения|Выполнять деление многочленов","Путают формулы квадрата суммы и разности|Теряют члены при умножении"
TOPIC-ALGEBRAIC-FRACTIONS,45,7,"Аналогия с обычными дробями помогает. Обязательно находить ОДЗ.","Сокращать алгебраические дроби|Складывать и вычитать дроби с разными знаменателями|Находить ОДЗ","Сокращают отдельные слагаемые вместо множителей|Забывают про ОДЗ"
TOPIC-LINEAR-FUNCTION,35,5,"Строить график по двум точкам. Связать k и b с наклоном и сдвигом.","Строить график линейной функции|Определять k и b по графику|Находить точки пересечения","Путают k (наклон) и b (сдвиг)|Неправильно выбирают масштаб осей"
TOPIC-QUADRATIC-FUNCTION,45,7,"Обязательно показать связь между коэффициентами и формой параболы.","Строить график квадратичной функции|Находить вершину параболы|Определять направление ветвей","Путают направление ветвей при a<0|Неверно находят координаты вершины"
TOPIC-GRAPHS-ANALYSIS,30,5,"Учить читать графики до построения. Начать с реальных зависимостей.","Читать графики функций|Определять возрастание и убывание|Находить нули функции по графику","Путают возрастание функции с положительностью|Не различают значение функции и аргумент"
TOPIC-ARITHMETIC-PROGRESSION,35,6,"Примеры из жизни: номера домов, начисление процентов.","Находить n-й член арифметической прогрессии|Вычислять сумму первых n членов|Задавать прогрессию формулой","Путают разность прогрессии с отношением|Ошибки в формуле суммы"
TOPIC-GEOMETRIC-PROGRESSION,40,7,"Связать с экспоненциальным ростом. Примеры: бактерии, сложные проценты.","Находить n-й член геометрической прогрессии|Вычислять сумму первых n членов|Определять знаменатель","Путают арифметическую и геометрическую прогрессии|Ошибки при отрицательном знаменателе"
TOPIC-PROBABILITY-BASICS,30,5,"Использовать монеты и кубики для демонстрации. Начать с классического определения.","Вычислять вероятность события|Различать достоверные и невозможные события|Применять формулу классической вероятности","Путают вероятность и частоту|Складывают вероятности зависимых событий"
TOPIC-STATISTICS-BASICS,25,4,"Работать с реальными данными класса. Считать среднее, медиану, моду.","Вычислять среднее арифметическое|Находить медиану и моду|Строить диаграммы","Путают среднее и медиану|Не учитывают повторяющиеся значения для моды"
TOPIC-ABSOLUTE-VALUE,30,5,"Геометрическая интерпретация как расстояние на числовой прямой.","Раскрывать модуль|Решать уравнения с модулем|Строить графики с модулем","Забывают рассмотреть оба случая|Неправильно раскрывают модуль при отрицательном аргументе"
TOPIC-RATIONAL-EXPRESSIONS,40,6,"Систематизировать все действия с рациональными выражениями. Акцент на ОДЗ.","Упрощать рациональные выражения|Выполнять все действия с рациональными дробями|Находить значение выражения при заданных переменных","Сокращают слагаемые вместо множителей|Пропускают ОДЗ при упрощении"
TOPIC-COMBINATORICS-BASIC,35,6,"Начинать с дерева вариантов. Правило умножения через конкретные задачи.","Применять правило умножения|Решать задачи на перестановки|Решать задачи на сочетания","Путают перестановки и сочетания|Не учитывают порядок элементов"
